host,boroughCount,boroughs
27808855,5,"Hammersmith_and_Fulham, Wandsworth, Southwark, Kensington_and_Chelsea, Tower_Hamlets"
3747398,5,"Wandsworth, Kensington_and_Chelsea, Hackney, Tower_Hamlets, Westminster"
11570657,5,"Wandsworth, Camden, Hackney, Tower_Hamlets, Westminster"
1425784,5,"Lambeth, Southwark, Camden, Hackney, Tower_Hamlets"
193289997,5,"Lambeth, Southwark, Kensington_and_Chelsea, Camden, Westminster"
119267530,5,"Lambeth, Southwark, Islington, Tower_Hamlets, Westminster"
33421573,5,"Lambeth, Southwark, Camden, Tower_Hamlets, Westminster"
99733888,5,"Southwark, Islington, Kensington_and_Chelsea, Camden, Westminster"
110643190,5,"Southwark, Islington, Camden, Hackney, Westminster"
46362642,5,"Southwark, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
133204013,5,"Southwark, Islington, Camden, Tower_Hamlets, Westminster"
138932380,5,"Islington, Kensington_and_Chelsea, Camden, Hackney, Westminster"
224866971,5,"Islington, Kensington_and_Chelsea, Camden, Hackney, Westminster"
47623866,5,"Islington, Kensington_and_Chelsea, Camden, Tower_Hamlets, Westminster"
14685880,4,"Havering, Barking_and_Dagenham, Greenwich, Hackney"
17911918,4,"City_of_London, Wandsworth, Kensington_and_Chelsea, Westminster"
9066630,4,"City_of_London, Lambeth, Camden, Westminster"
33433857,4,"City_of_London, Lambeth, Camden, Tower_Hamlets"
43935156,4,"City_of_London, Islington, Camden, Westminster"
124013560,4,"City_of_London, Richmond_upon_Thames, Tower_Hamlets, Westminster"
139900567,4,"City_of_London, Ealing, Hackney, Tower_Hamlets"
143758259,4,"City_of_London, Kensington_and_Chelsea, Tower_Hamlets, Westminster"
122890980,4,"City_of_London, Brent, Camden, Hackney"
142504860,4,"City_of_London, Camden, Hackney, Tower_Hamlets"
25357561,4,"City_of_London, Islington, Camden, Tower_Hamlets"
174572485,4,"City_of_London, Islington, Camden, Tower_Hamlets"
33420433,4,"City_of_London, Camden, Tower_Hamlets, Westminster"
224967268,4,"City_of_London, Greenwich, Islington, Tower_Hamlets"
222618341,4,"City_of_London, Islington, Hackney, Westminster"
242487770,4,"City_of_London, Camden, Tower_Hamlets, Westminster"
203941630,4,"City_of_London, Hammersmith_and_Fulham, Islington, Tower_Hamlets"
105908716,4,"City_of_London, Kensington_and_Chelsea, Tower_Hamlets, Westminster"
47609036,4,"City_of_London, Islington, Camden, Tower_Hamlets"
17279844,4,"City_of_London, Hammersmith_and_Fulham, Southwark, Westminster"
163007820,4,"Harrow, Barnet, Hammersmith_and_Fulham, Westminster"
190315203,4,"Harrow, Greenwich, Ealing, Tower_Hamlets"
226804666,4,"Harrow, Lewisham, Hammersmith_and_Fulham, Southwark"
251485737,4,"Hillingdon, Ealing, Kensington_and_Chelsea, Westminster"
48571576,4,"Enfield, Brent, Camden, Westminster"
268820851,4,"Enfield, Haringey, Camden, Tower_Hamlets"
79087724,4,"Bromley, Greenwich, Lewisham, Tower_Hamlets"
59632742,4,"Hounslow, Richmond_upon_Thames, Lewisham, Southwark"
15298430,4,"Hounslow, Hammersmith_and_Fulham, Wandsworth, Southwark"
17539274,4,"Hounslow, Ealing, Hammersmith_and_Fulham, Kensington_and_Chelsea"
163083341,4,"Croydon, Newham, Islington, Tower_Hamlets"
167517751,4,"Croydon, Lambeth, Southwark, Westminster"
871053,4,"Croydon, Merton, Wandsworth, Lambeth"
16385381,4,"Richmond_upon_Thames, Wandsworth, Tower_Hamlets, Westminster"
49992531,4,"Richmond_upon_Thames, Hammersmith_and_Fulham, Kensington_and_Chelsea, Camden"
99728490,4,"Richmond_upon_Thames, Ealing, Southwark, Tower_Hamlets"
8368940,4,"Waltham_Forest, Islington, Camden, Hackney"
42150975,4,"Waltham_Forest, Newham, Brent, Tower_Hamlets"
10301575,4,"Merton, Lambeth, Kensington_and_Chelsea, Westminster"
113030835,4,"Merton, Wandsworth, Lambeth, Westminster"
49851295,4,"Merton, Hammersmith_and_Fulham, Wandsworth, Kensington_and_Chelsea"
25110951,4,"Merton, Hammersmith_and_Fulham, Kensington_and_Chelsea, Westminster"
103394542,4,"Barnet, Brent, Camden, Westminster"
43181771,4,"Barnet, Hammersmith_and_Fulham, Southwark, Kensington_and_Chelsea"
44679311,4,"Barnet, Lambeth, Kensington_and_Chelsea, Westminster"
48165024,4,"Barnet, Brent, Kensington_and_Chelsea, Westminster"
166617599,4,"Barnet, Wandsworth, Camden, Westminster"
96706502,4,"Barnet, Newham, Camden, Westminster"
158840966,4,"Barnet, Lewisham, Kensington_and_Chelsea, Westminster"
24947271,4,"Barnet, Hammersmith_and_Fulham, Kensington_and_Chelsea, Westminster"
255384070,4,"Greenwich, Southwark, Islington, Hackney"
97206133,4,"Ealing, Kensington_and_Chelsea, Camden, Westminster"
79001096,4,"Ealing, Hammersmith_and_Fulham, Tower_Hamlets, Westminster"
175623118,4,"Ealing, Lewisham, Brent, Westminster"
228900020,4,"Ealing, Hammersmith_and_Fulham, Islington, Kensington_and_Chelsea"
230340424,4,"Ealing, Wandsworth, Islington, Tower_Hamlets"
208447001,4,"Ealing, Hammersmith_and_Fulham, Kensington_and_Chelsea, Westminster"
83740964,4,"Ealing, Kensington_and_Chelsea, Camden, Westminster"
120240035,4,"Newham, Lewisham, Kensington_and_Chelsea, Hackney"
248034547,4,"Newham, Hammersmith_and_Fulham, Tower_Hamlets, Westminster"
152064486,4,"Newham, Hammersmith_and_Fulham, Tower_Hamlets, Westminster"
213343432,4,"Newham, Hammersmith_and_Fulham, Wandsworth, Tower_Hamlets"
163577058,4,"Haringey, Islington, Camden, Westminster"
249697480,4,"Haringey, Islington, Hackney, Tower_Hamlets"
219607756,4,"Haringey, Islington, Camden, Hackney"
63293666,4,"Lewisham, Southwark, Kensington_and_Chelsea, Westminster"
14183645,4,"Lewisham, Lambeth, Southwark, Westminster"
134883983,4,"Lewisham, Wandsworth, Tower_Hamlets, Westminster"
224774243,4,"Lewisham, Islington, Camden, Westminster"
2090844,4,"Lewisham, Wandsworth, Lambeth, Camden"
1525880,4,"Brent, Southwark, Camden, Tower_Hamlets"
158891383,4,"Brent, Hammersmith_and_Fulham, Islington, Camden"
96333789,4,"Brent, Islington, Camden, Hackney"
87794098,4,"Brent, Islington, Camden, Hackney"
23966399,4,"Brent, Hammersmith_and_Fulham, Camden, Westminster"
221357332,4,"Brent, Islington, Kensington_and_Chelsea, Westminster"
216472668,4,"Brent, Southwark, Camden, Tower_Hamlets"
237078220,4,"Brent, Hammersmith_and_Fulham, Wandsworth, Kensington_and_Chelsea"
37056489,4,"Hammersmith_and_Fulham, Southwark, Kensington_and_Chelsea, Westminster"
32674548,4,"Hammersmith_and_Fulham, Kensington_and_Chelsea, Camden, Westminster"
114635297,4,"Hammersmith_and_Fulham, Southwark, Hackney, Tower_Hamlets"
128659370,4,"Hammersmith_and_Fulham, Wandsworth, Kensington_and_Chelsea, Westminster"
