from_borough,to_borough,similarity
Hackney,Hillingdon,-0.9729334294264056
Kensington and Chelsea,Sutton,-0.9754328359846802
Hammersmith and Fulham,Kingston upon Thames,-0.9757793814066472
Hammersmith and Fulham,Redbridge,-0.9758485583279456
Hillingdon,Tower Hamlets,-0.976410087442502
Islington,Redbridge,-0.9768107301138872
Bexley,Westminster,-0.9777535117096404
Kensington and Chelsea,Kingston upon Thames,-0.978532167792236
Hammersmith and Fulham,Hounslow,-0.979622106127919
Havering,Southwark,-0.9799142612903652
Hammersmith and Fulham,Havering,-0.9804121901640028
Enfield,Wandsworth,-0.9808958648002332
Havering,Lambeth,-0.9813522109951112
Hounslow,Tower Hamlets,-0.9817093331106838
Bromley,Hammersmith and Fulham,-0.9821692670912836
Camden,Enfield,-0.9826433992363268
Greenwich,Tower Hamlets,-0.9834428867125432
Croydon,Hammersmith and Fulham,-0.983511601523096
Croydon,Wandsworth,-0.9838390081226602
Redbridge,Westminster,-0.9839901985181472
Harrow,Islington,-0.9847893316424948
Hammersmith and Fulham,Sutton,-0.985798810159956
Croydon,Southwark,-0.9858245094387824
Hackney,Havering,-0.9868202272535488
Camden,Sutton,-0.9872784560281552
Kingston upon Thames,Westminster,-0.9873262651683112
Barking and Dagenham,Camden,-0.9879261627133596
Hounslow,Islington,-0.9884536149623177
Camden,Redbridge,-0.9887579316268732
City of London,Waltham Forest,-0.9887987367267804
Enfield,Westminster,-0.9890731386740892
Bromley,Wandsworth,-0.989148805319073
Hillingdon,Southwark,-0.9892735303104574
Greenwich,Hammersmith and Fulham,-0.9894142743274448
Enfield,Hammersmith and Fulham,-0.9903336847126928
Croydon,Islington,-0.9906065465081364
Hounslow,Wandsworth,-0.9913934063906592
Greenwich,Westminster,-0.9920404244988692
Sutton,Tower Hamlets,-0.9923166906289724
Havering,Wandsworth,-0.9929896831632176
Bexley,Wandsworth,-0.9935206828893672
Hackney,Hounslow,-0.994206983350559
Bexley,Tower Hamlets,-0.9957006924138552
Barking and Dagenham,Kensington and Chelsea,-0.9962448700896686
Redbridge,Tower Hamlets,-0.9966045673614048
Sutton,Westminster,-0.9966390376825096
Brent,Richmond upon Thames,-0.99711231580962
Croydon,Tower Hamlets,-0.9977732190990608
Barking and Dagenham,Westminster,-0.9982759270747508
Enfield,Tower Hamlets,-0.9985569473729036
Bexley,Hammersmith and Fulham,-0.998674264325074
Hounslow,Southwark,-0.9988600272724448
Hillingdon,Islington,-0.999779671619438
